obj_id  ref_name         valuet                                                        valuei       timestamp          
------  ---------------  ------------------------------------------------------------  -----------  -------------------
3       EAN              5201671000015                                                              2026-02-05 00:11:43

3       cat_id                                                                         261674       2026-02-05 00:11:43

3       item_no                                                                        32           2026-02-05 00:21:35

3       name             GAEA Oliwa z oliwek Extra Virgin 500ml                                     2026-02-05 00:11:43

3       name             GAEA Oliwa z oliwek Extra Virgin 500ml                                     2026-02-05 00:21:35

3       offer_id                                                                       18296406682  2026-02-05 00:11:43

3       price                                                                          66571428     2026-02-05 00:21:35

3       stock                                                                          3            2026-02-05 00:21:35

3       stock_available                                                                20           2026-02-05 00:11:43

3       stock_sold                                                                     0            2026-02-05 00:11:43

9       EAN              5907771342788                                                              2026-02-05 00:11:43

9       cat_id                                                                         261784       2026-02-05 00:11:43

9       item_no                                                                        620          2026-02-05 00:21:35

9       name             Kombucha Mango i Marakuja Napój Herbaciany 330ml AleBrowar                 2026-02-05 00:11:43

9       name             KOMBU CHA Mango Marakuja 330ml                                             2026-02-05 00:21:35

9       offer_id                                                                       18293361831  2026-02-05 00:11:43

9       price                                                                          9341463      2026-02-05 00:21:35

9       stock                                                                          12           2026-02-05 00:21:35

9       stock_available                                                                34           2026-02-05 00:11:43

9       stock_sold                                                                     0            2026-02-05 00:11:43

10      EAN              5907222039854                                                              2026-02-05 00:11:43

10      cat_id                                                                         261784       2026-02-05 00:11:43

10      item_no                                                                        368          2026-02-05 00:21:35

10      name             Kombucha Świeża Malina Napój Herbaciany 330ml AleBrowar                    2026-02-05 00:11:43

10      name             KOMBU CHA Świeża Malina 330ml                                              2026-02-05 00:21:35

10      offer_id                                                                       18293359382  2026-02-05 00:11:43

10      price                                                                          9341463      2026-02-05 00:21:35

10      stock                                                                          12           2026-02-05 00:21:35

10      stock_available                                                                34           2026-02-05 00:11:43

10      stock_sold                                                                     0            2026-02-05 00:11:43

23      EAN              4260107222514                                                              2026-02-05 00:11:43

23      cat_id                                                                         112633       2026-02-05 00:11:43

23      item_no                                                                        223          2026-02-05 00:21:35

23      name             Fritz Lemoniada Jabłkowa, napój gazowany Fritz-Spritz 330 ml               2026-02-05 00:11:43

23      name             FRITZ - Spritz BIO Lemoniada Jabłkowa 330ml                                2026-02-05 00:21:35

23      offer_id                                                                       18293224802  2026-02-05 00:11:43

23      price                                                                          6495935      2026-02-05 00:21:35

23      stock                                                                          30           2026-02-05 00:21:35

23      stock_available                                                                111          2026-02-05 00:11:43

23      stock_sold                                                                     0            2026-02-05 00:11:43

24      EAN              4260107220114                                                              2026-02-05 00:11:43

24      cat_id                                                                         112633       2026-02-05 00:11:43

24      item_no                                                                        1071         2026-02-05 00:21:35

24      name             FRITZ - Orange, Lemoniada Pomarańcza 330 ml                                2026-02-05 00:11:43

24      name             FRITZ - LIMO, Lemoniada Pomarańczowa 330ml                                 2026-02-05 00:21:35

24      offer_id                                                                       18293223841  2026-02-05 00:11:43

24      price                                                                          6495935      2026-02-05 00:21:35

24      stock                                                                          76           2026-02-05 00:21:35

24      stock_available                                                                111          2026-02-05 00:11:43

24      stock_sold                                                                     0            2026-02-05 00:11:43

27      EAN              5902838990667                                                              2026-02-05 00:11:43

27      cat_id                                                                         311869       2026-02-05 00:11:43

27      item_no                                                                        802          2026-02-05 00:21:35

27      name             Piwo FORTUNA CZARNE Bezalkoholwy Ciemny Lager                              2026-02-05 00:11:43

27      name             Piwo FORTUNA CZARNE Bezalkoholwy Ciemny Lager                              2026-02-05 00:21:35

27      offer_id                                                                       18290570823  2026-02-05 00:11:43

27      price                                                                          5926829      2026-02-05 00:21:35

27      stock                                                                          82           2026-02-05 00:21:35

27      stock_available                                                                440          2026-02-05 00:11:43

27      stock_sold                                                                     6            2026-02-05 00:11:43

28      EAN              5901832982425                                                              2026-02-05 00:11:43

28      cat_id                                                                         111093       2026-02-05 00:11:43

28      item_no                                                                        728          2026-02-05 00:21:35

28      name             Fresano Kasza Gryczana Palona BIO 500g                                     2026-02-05 00:11:43

28      name             Fresano Kasza Gryczana Palona BIO 500g                                     2026-02-05 00:21:35

28      offer_id                                                                       18289544084  2026-02-05 00:11:43

28      price                                                                          13800000     2026-02-05 00:21:35

28      stock                                                                          10           2026-02-05 00:21:35

28      stock_available                                                                24           2026-02-05 00:11:43

28      stock_sold                                                                     0            2026-02-05 00:11:43

30      EAN              5901866000591                                                              2026-02-05 00:11:43

30      cat_id                                                                         261417       2026-02-05 00:11:43

30      item_no                                                                        418          2026-02-05 00:21:35

30      name             GLUTENEX Skrobia Pszenna 350g                                              2026-02-05 00:11:43

30      name             GLUTENEX Skrobia Pszenna 350g                                              2026-02-05 00:21:35

30      offer_id                                                                       18287255875  2026-02-05 00:11:43

30      price                                                                          11228571     2026-02-05 00:21:35

30      stock                                                                          6            2026-02-05 00:21:35

30      stock_available                                                                29           2026-02-05 00:11:43

30      stock_sold                                                                     0            2026-02-05 00:11:43

53      EAN              5901752701960                                                              2026-02-05 00:11:43

53      cat_id                                                                         321613       2026-02-05 00:11:43

53      item_no                                                                        433          2026-02-05 00:21:35

53      name             Tahini Premium pasta sezamowa 300 g                                        2026-02-05 00:11:43

53      name             QF Pasta sezamowa Tahini 300g                                              2026-02-05 00:21:35

53      offer_id                                                                       18275128148  2026-02-05 00:11:43

53      price                                                                          23304762     2026-02-05 00:21:35

53      stock                                                                          24           2026-02-05 00:21:35

53      stock_available                                                                20           2026-02-05 00:11:43

53      stock_sold                                                                     0            2026-02-05 00:11:43

57      EAN              5901866005619                                                              2026-02-05 00:11:43

57      cat_id                                                                         261420       2026-02-05 00:11:43

57      item_no                                                                        322          2026-02-05 00:21:35

57      name             GLUTENEX Bezglutenowe Kozie Mleczko 160g                                   2026-02-05 00:11:43

57      name             GLUTENEX Super Kozie mleczko o smaku w w czekoladzie 160g                  2026-02-05 00:21:35

57      offer_id                                                                       18269291833  2026-02-05 00:11:43

57      price                                                                          16942857     2026-02-05 00:21:35

57      stock                                                                          20           2026-02-05 00:21:35

57      stock_available                                                                52           2026-02-05 00:11:43

57      stock_sold                                                                     5            2026-02-05 00:11:43

58      EAN              5901866004308                                                              2026-02-05 00:11:43

58      cat_id                                                                         261417       2026-02-05 00:11:43

58      item_no                                                                        302          2026-02-05 00:21:35

58      name             BUŁKA TARTA NISKOBIAŁKOWA 300g Glutenex 300 g                              2026-02-05 00:11:43

58      name             Glutenex Bułka tarta bezglutenowa niskobiałkowa 300g                       2026-02-05 00:21:35

58      offer_id                                                                       18269271330  2026-02-05 00:11:43

58      price                                                                          12837398     2026-02-05 00:21:35

58      stock                                                                          5            2026-02-05 00:21:35

58      stock_available                                                                23           2026-02-05 00:11:43

58      stock_sold                                                                     0            2026-02-05 00:11:43

70      EAN              4260107220077                                                              2026-02-05 00:11:43

70      cat_id                                                                         112633       2026-02-05 00:11:43

70      item_no                                                                        317          2026-02-05 00:21:35

70      name             FRITZ - LIMO, Lemoniada Cytrynowa 330 ml                                   2026-02-05 00:11:43

70      name             FRITZ - LIMO, Lemoniada Cytrynowa 330ml                                    2026-02-05 00:21:35

70      offer_id                                                                       18266118083  2026-02-05 00:11:43

70      price                                                                          6495935      2026-02-05 00:21:35

70      stock                                                                          111          2026-02-05 00:21:35

70      stock_available                                                                111          2026-02-05 00:11:43

70      stock_sold                                                                     0            2026-02-05 00:11:43

71      EAN              5906660190318                                                              2026-02-05 00:11:43

71      cat_id                                                                         112645       2026-02-05 00:11:43

71      item_no                                                                        979          2026-02-05 00:21:35

71      name             OLANDIA EKO Siemię lniane mielone odtłuszczone 400                         2026-02-05 00:11:43

71      name             OLANDIA EKO Siemię lniane mielone odtłuszczone 400                         2026-02-05 00:21:35

71      offer_id                                                                       18266040693  2026-02-05 00:11:43

71      price                                                                          11130081     2026-02-05 00:21:35

71      stock                                                                          3            2026-02-05 00:21:35

71      stock_available                                                                35           2026-02-05 00:11:43

71      stock_sold                                                                     1            2026-02-05 00:11:43

73      EAN              5902838990469                                                              2026-02-05 00:11:43

73      cat_id                                                                         311869       2026-02-05 00:11:43

73      item_no                                                                        791          2026-02-05 00:21:35

73      name             Browar Miłosław Bezalkoholowe IPA 500ml                                    2026-02-05 00:11:43

73      name             Browar Miłosław Bezalkoholowe IPA 500ml                                    2026-02-05 00:21:35

73      offer_id                                                                       18264901979  2026-02-05 00:11:43

73      price                                                                          5601626      2026-02-05 00:21:35

73      stock                                                                          43           2026-02-05 00:21:35

73      stock_available                                                                576          2026-02-05 00:11:43

73      stock_sold                                                                     32           2026-02-05 00:11:43

85      EAN              5901832980995                                                              2026-02-05 00:11:43

85      cat_id                                                                         261698       2026-02-05 00:11:43

85      item_no                                                                        74           2026-02-05 00:21:35

85      name             Soczewica brązowa Fresano 0,4 kg                                           2026-02-05 00:11:43

85      name             Fresano Soczewica brązowa BIO 400g                                         2026-02-05 00:21:35

85      offer_id                                                                       18263559123  2026-02-05 00:11:43

85      price                                                                          12847619     2026-02-05 00:21:35

85      stock                                                                          12           2026-02-05 00:21:35

85      stock_available                                                                23           2026-02-05 00:11:43

85      stock_sold                                                                     2            2026-02-05 00:11:43

86      EAN              4260107220060                                                              2026-02-05 00:11:43

86      cat_id                                                                         112633       2026-02-05 00:11:43

86      item_no                                                                        1073         2026-02-05 00:21:35

86      name             Napój gazowany Fritz Melon 330 ml                                          2026-02-05 00:11:43

86      name             FRITZ - LIMO, Lemoniada Melonowa 330ml                                     2026-02-05 00:21:35

86      offer_id                                                                       18263553396  2026-02-05 00:11:43

86      price                                                                          6495935      2026-02-05 00:21:35

86      stock                                                                          17           2026-02-05 00:21:35

86      stock_available                                                                111          2026-02-05 00:11:43

86      stock_sold                                                                     0            2026-02-05 00:11:43

89      EAN              5901832980780                                                              2026-02-05 00:11:43

89      cat_id                                                                         308293       2026-02-05 00:11:43

89      item_no                                                                        667          2026-02-05 00:21:35

89      name             Fresano Ryż brązowy Basmati 500g                                           2026-02-05 00:11:43

89      name             Fresano Ryż brązowy Basmati 500g                                           2026-02-05 00:21:35

89      offer_id                                                                       18262977355  2026-02-05 00:11:43

89      price                                                                          13228571     2026-02-05 00:21:35

89      stock                                                                          11           2026-02-05 00:21:35

89      stock_available                                                                20           2026-02-05 00:11:43

89      stock_sold                                                                     0            2026-02-05 00:11:43

94      EAN              5906395231447                                                              2026-02-05 00:11:43

94      cat_id                                                                         322932       2026-02-05 00:11:43

94      item_no                                                                        712          2026-02-05 00:21:35

94      name             Napój Welsom Shot Energy Vitamin C 60 ml                                   2026-02-05 00:11:43

94      name             CHIAS Shot Welsom Energy Vitamina C                                        2026-02-05 00:21:35

94      offer_id                                                                       18260008092  2026-02-05 00:11:43

94      price                                                                          5514286      2026-02-05 00:21:35

94      stock                                                                          0            2026-02-05 00:21:35

94      stock_available                                                                169          2026-02-05 00:11:43

94      stock_sold                                                                     12           2026-02-05 00:11:43

99      EAN              5905567596094                                                              2026-02-05 00:11:43

99      cat_id                                                                         261420       2026-02-05 00:11:43

99      item_no                                                                        922          2026-02-05 00:21:35

99      name             CIASTKA KRUCHE Z MIODEM BEZGLUTENOWE 100 G                                 2026-02-05 00:11:43

99      name             CIASTKA KRUCHE Z MIODEM BEZGLUTENOWE 100 G                                 2026-02-05 00:21:35

99      offer_id                                                                       18257598244  2026-02-05 00:11:43

99      price                                                                          7609524      2026-02-05 00:21:35

99      stock                                                                          5            2026-02-05 00:21:35

99      stock_available                                                                7            2026-02-05 00:11:43

99      stock_sold                                                                     2            2026-02-05 00:11:43

100     EAN              5906874431399                                                              2026-02-05 00:11:43

100     cat_id                                                                         257514       2026-02-05 00:11:43

100     item_no                                                                        208          2026-02-05 00:21:35

100     name             Suplement diety Herbal Monasterium EstroBalans, 30 kaps.                   2026-02-05 00:11:43

100     name             Herbal Monasterium EstroBalans suplement diety                             2026-02-05 00:21:35

100     offer_id                                                                       18257347595  2026-02-05 00:11:43

100     price                                                                          28371429     2026-02-05 00:21:35

100     stock                                                                          6            2026-02-05 00:21:35

100     stock_available                                                                21           2026-02-05 00:11:43

100     stock_sold                                                                     0            2026-02-05 00:11:43

111     EAN              5905567596087                                                              2026-02-05 00:11:43

111     cat_id                                                                         261420       2026-02-05 00:11:43

111     item_no                                                                        966          2026-02-05 00:21:35

111     name             Ciastka Malu Food bezglutenowe z mąka z siemienia lnianego 1               2026-02-05 00:11:43
                         00 gr                                                                                         

111     name             CIASTKA Z MĄKĄ Z SIEMIENIA LNIANEGO BEZ CUKRU                              2026-02-05 00:21:35

111     offer_id                                                                       18245821055  2026-02-05 00:11:43

111     price                                                                          7609524      2026-02-05 00:21:35

111     stock                                                                          3            2026-02-05 00:21:35

111     stock_available                                                                4            2026-02-05 00:11:43

111     stock_sold                                                                     0            2026-02-05 00:11:43

128     EAN              5907222955000                                                              2026-02-05 00:11:43

128     cat_id                                                                         261675       2026-02-05 00:11:43

128     item_no                                                                        120          2026-02-05 00:21:35

128     name             MANUFAKTURA ŁAGOWSKI Olej Porowy 250 ml                                    2026-02-05 00:11:43

128     name             MANUFAKTURA ŁAGOWSKI Olej Rzepakowy 250ml                                  2026-02-05 00:21:35

128     offer_id                                                                       18232463794  2026-02-05 00:11:43

