obj_id  ref_name         valuet                                                        valuei       timestamp          
------  ---------------  ------------------------------------------------------------  -----------  -------------------
6       EAN              9006403039099                                                              2026-02-05 00:11:43

6       cat_id                                                                         74020        2026-02-05 00:11:43

6       item_no                                                                        2963         2026-02-05 00:26:21

6       name             ZOTTER - Czekolada Kakao Tanzania 75%                                      2026-02-05 00:11:43

6       name             Czekolada z Tanzanii - 75% Kakao                                           2026-02-05 00:26:21

6       offer_id                                                                       18296315039  2026-02-05 00:11:43

6       price                                                                          18284553     2026-02-05 00:26:21

6       stock                                                                          10           2026-02-05 00:26:21

6       stock_available                                                                22           2026-02-05 00:11:43

6       stock_sold                                                                     0            2026-02-05 00:11:43

7       EAN              9006403023661                                                              2026-02-05 00:11:43

7       cat_id                                                                         74020        2026-02-05 00:11:43

7       item_no                                                                        350          2026-02-05 00:26:21

7       name             ZOTTER - Czekolada ciemna Dominikana 62%                                   2026-02-05 00:11:43

7       name             Czekolada z Dominikany - 62% Kakao                                         2026-02-05 00:26:21

7       offer_id                                                                       18296314248  2026-02-05 00:11:43

7       price                                                                          18284553     2026-02-05 00:26:21

7       stock                                                                          11           2026-02-05 00:26:21

7       stock_available                                                                24           2026-02-05 00:11:43

7       stock_sold                                                                     0            2026-02-05 00:11:43

26      EAN              9006403046318                                                              2026-02-05 00:11:43

26      cat_id                                                                         74020        2026-02-05 00:11:43

26      item_no                                                                        3202         2026-02-05 00:26:21

26      name             Zotter Czekolada Guatemala 75% kakao                                       2026-02-05 00:11:43

26      name             Czekolada Ciemna z Gwatemali 75% Kakao                                     2026-02-05 00:26:21

26      offer_id                                                                       18293150820  2026-02-05 00:11:43

26      price                                                                          18284553     2026-02-05 00:26:21

26      stock                                                                          6            2026-02-05 00:26:21

26      stock_available                                                                10           2026-02-05 00:11:43

26      stock_sold                                                                     0            2026-02-05 00:11:43

36      EAN              9006403032625                                                              2026-02-05 00:11:43

36      cat_id                                                                         74020        2026-02-05 00:11:43

36      item_no                                                                        4382         2026-02-05 00:26:21

36      name             Zotter Labooko Belize 82% Sail shipped cocoa                               2026-02-05 00:11:43

36      name             Czekolada 82% Ziarno z Belize                                              2026-02-05 00:26:21

36      offer_id                                                                       18284416392  2026-02-05 00:11:43

